epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,15820.3,1.13392,0.68911,1.18188,0.76305,0.79309,0.83046,0.47117,1.38446,0.72213,1.46739,0.000660045,0.000660045,0.000660045
43,16194.7,1.1289,0.68038,1.17399,0.82754,0.74651,0.81416,0.45771,1.39865,0.7279,1.47283,0.000649046,0.000649046,0.000649046
44,16567.1,1.12396,0.68819,1.17696,0.85673,0.80679,0.85741,0.46408,1.43783,0.71704,1.5021,0.000638047,0.000638047,0.000638047
45,16939.3,1.11101,0.6696,1.17306,0.88229,0.75014,0.81656,0.45116,1.405,0.73401,1.47499,0.000627048,0.000627048,0.000627048
46,17313.2,1.10937,0.66314,1.15313,0.8542,0.76484,0.83839,0.47319,1.42149,0.73188,1.472,0.000616049,0.000616049,0.000616049
47,17685.8,1.10072,0.66363,1.161,0.81245,0.80667,0.84567,0.46409,1.3731,0.70719,1.43452,0.000605051,0.000605051,0.000605051
48,18058.8,1.09765,0.65589,1.15539,0.86297,0.7749,0.83224,0.45738,1.39507,0.7124,1.48528,0.000594052,0.000594052,0.000594052
49,18436.8,1.10478,0.65285,1.15785,0.80185,0.74818,0.80609,0.45341,1.42552,0.71542,1.51086,0.000583053,0.000583053,0.000583053
50,18809.9,1.09348,0.65023,1.16058,0.83985,0.81173,0.84751,0.48894,1.39156,0.69395,1.44675,0.000572054,0.000572054,0.000572054
51,19188,1.08136,0.63108,1.14805,0.80331,0.82138,0.83709,0.45771,1.4169,0.71485,1.49074,0.000561055,0.000561055,0.000561055
52,19564.4,1.08462,0.62696,1.15081,0.88597,0.73796,0.81664,0.45527,1.38939,0.722,1.45883,0.000550056,0.000550056,0.000550056
53,19939.6,1.08332,0.62565,1.15647,0.80417,0.81917,0.82116,0.46273,1.40574,0.7236,1.48611,0.000539057,0.000539057,0.000539057
54,20311.7,1.07672,0.62889,1.14193,0.81674,0.83009,0.85448,0.47693,1.41596,0.71106,1.48789,0.000528058,0.000528058,0.000528058
55,20683.7,1.06233,0.61985,1.1348,0.86926,0.78978,0.86122,0.48491,1.39594,0.69042,1.48103,0.000517059,0.000517059,0.000517059
56,21056.7,1.05386,0.61835,1.13715,0.83505,0.78216,0.84246,0.47079,1.43629,0.71683,1.51951,0.00050606,0.00050606,0.00050606
57,21430.2,1.06609,0.61891,1.14331,0.84729,0.78085,0.8455,0.46897,1.40003,0.69477,1.47873,0.000495062,0.000495062,0.000495062
